Date,Symbol,Ticker,Open,High,Low,Close,Adj Close,Volume,Source,Source URL,Fetch Timestamp
2024-01-01,INFY,INFY.NS,1539.0,1557.0,1535.25,1551.3499755859375,1429.635986328125,2808451,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-02,INFY,INFY.NS,1546.0,1549.1500244140625,1523.0,1534.4000244140625,1414.015869140625,5396313,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-03,INFY,INFY.NS,1519.949951171875,1519.949951171875,1488.0,1490.0,1373.099365234375,7550363,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-04,INFY,INFY.NS,1504.949951171875,1519.75,1492.9000244140625,1512.699951171875,1394.018310546875,7056038,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-05,INFY,INFY.NS,1506.75,1539.699951171875,1506.25,1532.550048828125,1412.31103515625,8895403,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-08,INFY,INFY.NS,1528.949951171875,1536.0,1513.25,1522.800048828125,1403.3260498046875,4440136,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-09,INFY,INFY.NS,1541.9000244140625,1553.0,1525.8499755859375,1529.300048828125,1409.3160400390625,4412074,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-10,INFY,INFY.NS,1524.949951171875,1535.449951171875,1505.0,1519.9000244140625,1400.653564453125,4096845,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-11,INFY,INFY.NS,1524.9000244140625,1525.0,1486.5999755859375,1494.199951171875,1376.9698486328125,11296088,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-12,INFY,INFY.NS,1562.0,1618.0,1555.4000244140625,1612.75,1486.21875,26754401,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-15,INFY,INFY.NS,1644.949951171875,1664.949951171875,1636.0,1652.0999755859375,1522.4815673828125,13228305,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-16,INFY,INFY.NS,1644.800048828125,1648.5,1625.0,1631.550048828125,1503.5438232421875,6500917,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-17,INFY,INFY.NS,1620.25,1647.5,1620.25,1640.199951171875,1511.5150146484375,9209876,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-18,INFY,INFY.NS,1642.6500244140625,1649.0,1628.25,1642.5999755859375,1513.726806640625,6375464,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-19,INFY,INFY.NS,1651.5999755859375,1665.5,1644.1500244140625,1659.199951171875,1529.0245361328125,4522736,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-23,INFY,INFY.NS,1650.0999755859375,1674.699951171875,1637.699951171875,1642.1500244140625,1513.3121337890625,9401255,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-24,INFY,INFY.NS,1659.9000244140625,1680.0,1645.0,1675.4000244140625,1543.9534912109375,8999681,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-25,INFY,INFY.NS,1672.949951171875,1680.550048828125,1658.0,1669.0999755859375,1538.147705078125,8865304,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
2024-01-29,INFY,INFY.NS,1665.1500244140625,1679.3499755859375,1647.5999755859375,1656.5999755859375,1526.6285400390625,4253785,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/INFY.NS?period1=1704067200&period2=1781136000&interval=1d&events=history&includeAdjustedClose=true,2026-06-10T16:52:56.607802+00:00
