Date,Symbol,Ticker,Open,High,Low,Close,Adj Close,Price Adjustment Factor,Volume,Source,Source URL,Fetch Timestamp
2025-07-07,TMPV,TMPV.NS,689.0499877929688,691.9500122070312,683.3499755859375,688.8499755859375,683.1828002929688,0.9917729905003652,5428220,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-08,TMPV,TMPV.NS,693.0,696.9500122070312,687.5,693.2000122070312,687.4970092773438,0.9917729330218416,7615926,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-09,TMPV,TMPV.NS,688.9500122070312,695.5,688.5,692.7999877929688,687.1002807617188,0.9917729400524279,5478813,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-10,TMPV,TMPV.NS,692.0,696.75,685.0,695.5999755859375,689.8772583007812,0.9917729765871027,7733963,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-11,TMPV,TMPV.NS,692.9500122070312,698.4000244140625,677.0499877929688,681.7999877929688,676.1907958984375,0.9917729656864785,8280654,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-14,TMPV,TMPV.NS,681.0,681.0,672.0,674.5,668.9508666992188,0.9917729676786046,7748550,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-15,TMPV,TMPV.NS,676.0,685.9500122070312,674.2999877929688,684.4000244140625,678.7694091796875,0.9917729178353032,7041706,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-16,TMPV,TMPV.NS,684.4000244140625,684.4000244140625,676.3499755859375,679.0,673.413818359375,0.9917729283643225,6244205,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-17,TMPV,TMPV.NS,679.0,686.9000244140625,678.1500244140625,681.7000122070312,676.0916137695312,0.9917729230789617,6598144,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
2025-07-18,TMPV,TMPV.NS,683.2000122070312,686.0,678.0,680.25,674.653564453125,0.9917729723676957,5558670,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TMPV.NS?period1=1751760000&period2=1783382400&interval=1d&events=div%2Csplits%2Chistory&includeAdjustedClose=true,2026-07-06T07:37:23.266692+00:00
