Interval Start,Interval End,Interval Minutes,Symbol,Ticker,Open,High,Low,Close,Volume,Source,Source URL,Fetch Timestamp
2026-05-11T03:45:00+00:00,2026-05-11T04:15:00+00:00,30,NIFTY50,^NSEI,23943.19921875,23975.80078125,23864.44921875,23865.69921875,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T04:15:00+00:00,2026-05-11T04:45:00+00:00,30,NIFTY50,^NSEI,23866.150390625,23903.69921875,23864.349609375,23893.400390625,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T04:45:00+00:00,2026-05-11T05:15:00+00:00,30,NIFTY50,^NSEI,23894.75,23896.25,23845.44921875,23860.099609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T05:15:00+00:00,2026-05-11T05:45:00+00:00,30,NIFTY50,^NSEI,23859.94921875,23922.55078125,23850.849609375,23914.599609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T05:45:00+00:00,2026-05-11T06:15:00+00:00,30,NIFTY50,^NSEI,23914.599609375,23952.69921875,23907.25,23949.400390625,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T06:15:00+00:00,2026-05-11T06:45:00+00:00,30,NIFTY50,^NSEI,23949.55078125,23956.900390625,23920.30078125,23935.55078125,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T06:45:00+00:00,2026-05-11T07:15:00+00:00,30,NIFTY50,^NSEI,23935.19921875,23954.94921875,23902.44921875,23950.349609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T07:15:00+00:00,2026-05-11T07:45:00+00:00,30,NIFTY50,^NSEI,23949.69921875,23954.650390625,23905.05078125,23949.80078125,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T07:45:00+00:00,2026-05-11T08:15:00+00:00,30,NIFTY50,^NSEI,23949.900390625,23986.849609375,23934.5,23965.44921875,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T08:15:00+00:00,2026-05-11T08:45:00+00:00,30,NIFTY50,^NSEI,23966.55078125,23997.0,23943.099609375,23946.30078125,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T08:45:00+00:00,2026-05-11T09:15:00+00:00,30,NIFTY50,^NSEI,23945.25,23957.849609375,23904.19921875,23916.349609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T09:15:00+00:00,2026-05-11T09:45:00+00:00,30,NIFTY50,^NSEI,23916.599609375,23924.349609375,23801.55078125,23805.75,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T09:45:00+00:00,2026-05-11T10:15:00+00:00,30,NIFTY50,^NSEI,23806.19921875,23820.349609375,23801.25,23820.349609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T03:45:00+00:00,2026-05-12T04:15:00+00:00,30,NIFTY50,^NSEI,23722.599609375,23754.150390625,23617.75,23640.650390625,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T04:15:00+00:00,2026-05-12T04:45:00+00:00,30,NIFTY50,^NSEI,23640.75,23655.400390625,23614.0,23651.400390625,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T04:45:00+00:00,2026-05-12T05:15:00+00:00,30,NIFTY50,^NSEI,23652.05078125,23675.19921875,23596.44921875,23627.55078125,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T05:15:00+00:00,2026-05-12T05:45:00+00:00,30,NIFTY50,^NSEI,23628.05078125,23629.599609375,23578.69921875,23589.349609375,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T05:45:00+00:00,2026-05-12T06:15:00+00:00,30,NIFTY50,^NSEI,23589.599609375,23613.400390625,23578.650390625,23602.69921875,0,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/^NSEI?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
