Interval Start,Interval End,Interval Minutes,Symbol,Ticker,Open,High,Low,Close,Volume,Source,Source URL,Fetch Timestamp
2026-06-08T03:45:00+00:00,2026-06-08T04:15:00+00:00,30,RELIANCE,RELIANCE.NS,1278.800048828125,1281.5,1273.5,1278.300048828125,1461267,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T04:15:00+00:00,2026-06-08T04:45:00+00:00,30,RELIANCE,RELIANCE.NS,1278.300048828125,1282.5999755859375,1277.0,1279.300048828125,863961,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T04:45:00+00:00,2026-06-08T05:15:00+00:00,30,RELIANCE,RELIANCE.NS,1279.300048828125,1279.800048828125,1275.0,1275.199951171875,1618237,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T05:15:00+00:00,2026-06-08T05:45:00+00:00,30,RELIANCE,RELIANCE.NS,1275.0,1277.0,1274.199951171875,1276.0,1014294,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T05:45:00+00:00,2026-06-08T06:15:00+00:00,30,RELIANCE,RELIANCE.NS,1276.0,1276.699951171875,1274.199951171875,1275.5999755859375,635453,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T06:15:00+00:00,2026-06-08T06:45:00+00:00,30,RELIANCE,RELIANCE.NS,1275.5999755859375,1276.800048828125,1274.300048828125,1275.199951171875,715569,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T06:45:00+00:00,2026-06-08T07:15:00+00:00,30,RELIANCE,RELIANCE.NS,1275.0999755859375,1276.199951171875,1274.9000244140625,1275.9000244140625,582630,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T07:15:00+00:00,2026-06-08T07:45:00+00:00,30,RELIANCE,RELIANCE.NS,1275.9000244140625,1277.699951171875,1274.0,1274.0999755859375,718886,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T07:45:00+00:00,2026-06-08T08:15:00+00:00,30,RELIANCE,RELIANCE.NS,1274.0,1274.800048828125,1270.699951171875,1272.0,1491554,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T08:15:00+00:00,2026-06-08T08:45:00+00:00,30,RELIANCE,RELIANCE.NS,1272.0,1272.9000244140625,1270.300048828125,1270.5999755859375,937118,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T08:45:00+00:00,2026-06-08T09:15:00+00:00,30,RELIANCE,RELIANCE.NS,1270.5999755859375,1271.0,1267.0,1270.5999755859375,868159,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T09:15:00+00:00,2026-06-08T09:45:00+00:00,30,RELIANCE,RELIANCE.NS,1270.5999755859375,1270.5999755859375,1263.0999755859375,1265.0999755859375,2315547,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-08T09:45:00+00:00,2026-06-08T10:15:00+00:00,30,RELIANCE,RELIANCE.NS,1265.0999755859375,1265.0999755859375,1259.199951171875,1262.800048828125,2453825,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-09T03:45:00+00:00,2026-06-09T04:15:00+00:00,30,RELIANCE,RELIANCE.NS,1267.800048828125,1274.199951171875,1265.5999755859375,1270.0999755859375,1187440,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-09T04:15:00+00:00,2026-06-09T04:45:00+00:00,30,RELIANCE,RELIANCE.NS,1270.0,1271.5,1268.0999755859375,1269.5,424170,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
2026-06-09T04:45:00+00:00,2026-06-09T05:15:00+00:00,30,RELIANCE,RELIANCE.NS,1269.4000244140625,1269.5999755859375,1265.5999755859375,1266.4000244140625,560733,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?period1=1780730447&period2=1783322447&interval=30m&events=history&includePrePost=false,2026-07-06T07:20:47.556797+00:00
