Interval Start,Interval End,Interval Minutes,Symbol,Ticker,Open,High,Low,Close,Volume,Source,Source URL,Fetch Timestamp
2026-05-11T03:45:00+00:00,2026-05-11T04:15:00+00:00,30,TCS,TCS.NS,2375.0,2394.0,2375.0,2385.39990234375,174659,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T04:15:00+00:00,2026-05-11T04:45:00+00:00,30,TCS,TCS.NS,2385.5,2394.89990234375,2385.5,2387.0,114457,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T04:45:00+00:00,2026-05-11T05:15:00+00:00,30,TCS,TCS.NS,2387.199951171875,2401.0,2379.300048828125,2399.60009765625,146838,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T05:15:00+00:00,2026-05-11T05:45:00+00:00,30,TCS,TCS.NS,2399.699951171875,2410.0,2397.0,2407.10009765625,116105,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T05:45:00+00:00,2026-05-11T06:15:00+00:00,30,TCS,TCS.NS,2407.5,2409.800048828125,2397.800048828125,2405.5,110332,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T06:15:00+00:00,2026-05-11T06:45:00+00:00,30,TCS,TCS.NS,2405.60009765625,2407.199951171875,2401.300048828125,2402.10009765625,56188,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T06:45:00+00:00,2026-05-11T07:15:00+00:00,30,TCS,TCS.NS,2402.0,2414.60009765625,2400.199951171875,2413.5,158225,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T07:15:00+00:00,2026-05-11T07:45:00+00:00,30,TCS,TCS.NS,2414.0,2414.89990234375,2400.699951171875,2409.89990234375,153521,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T07:45:00+00:00,2026-05-11T08:15:00+00:00,30,TCS,TCS.NS,2409.89990234375,2410.699951171875,2403.0,2403.800048828125,78634,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T08:15:00+00:00,2026-05-11T08:45:00+00:00,30,TCS,TCS.NS,2403.39990234375,2404.89990234375,2401.0,2404.699951171875,133584,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T08:45:00+00:00,2026-05-11T09:15:00+00:00,30,TCS,TCS.NS,2404.5,2405.5,2396.0,2399.10009765625,118351,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T09:15:00+00:00,2026-05-11T09:45:00+00:00,30,TCS,TCS.NS,2398.89990234375,2400.60009765625,2390.39990234375,2392.10009765625,261525,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-11T09:45:00+00:00,2026-05-11T10:15:00+00:00,30,TCS,TCS.NS,2392.10009765625,2400.0,2390.0,2392.89990234375,210204,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T03:45:00+00:00,2026-05-12T04:15:00+00:00,30,TCS,TCS.NS,2368.300048828125,2368.300048828125,2304.5,2312.0,716937,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T04:15:00+00:00,2026-05-12T04:45:00+00:00,30,TCS,TCS.NS,2311.5,2312.199951171875,2299.300048828125,2301.0,670573,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T04:45:00+00:00,2026-05-12T05:15:00+00:00,30,TCS,TCS.NS,2301.0,2305.0,2284.300048828125,2292.699951171875,670765,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T05:15:00+00:00,2026-05-12T05:45:00+00:00,30,TCS,TCS.NS,2292.699951171875,2296.89990234375,2290.10009765625,2291.10009765625,291911,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T05:45:00+00:00,2026-05-12T06:15:00+00:00,30,TCS,TCS.NS,2290.800048828125,2300.0,2289.10009765625,2297.0,390705,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T06:15:00+00:00,2026-05-12T06:45:00+00:00,30,TCS,TCS.NS,2297.39990234375,2302.60009765625,2284.199951171875,2286.10009765625,429065,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T06:45:00+00:00,2026-05-12T07:15:00+00:00,30,TCS,TCS.NS,2286.300048828125,2301.300048828125,2283.10009765625,2300.199951171875,325595,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
2026-05-12T07:15:00+00:00,2026-05-12T07:45:00+00:00,30,TCS,TCS.NS,2300.300048828125,2304.0,2296.300048828125,2302.800048828125,278251,Yahoo Finance automated fallback,https://query1.finance.yahoo.com/v8/finance/chart/TCS.NS?period1=1778238506&period2=1783336106&interval=30m&events=history&includePrePost=false,2026-07-06T11:08:26.544444+00:00
